ebn0_db,total_bits,fp32_errors,bf16_errors,ber_fp32,ber_bf16,ber_theory,ratio_fp32_theory
0.00,1700000,133884,133884,7.87552941e-02,7.87552941e-02,7.86496035e-02,1.001344
0.50,1600000,106690,106690,6.66812500e-02,6.66812500e-02,6.70651983e-02,0.994275
1.00,1700000,95154,95154,5.59729412e-02,5.59729412e-02,5.62819520e-02,0.994510
1.50,1800000,83738,83738,4.65211111e-02,4.65211111e-02,4.64012760e-02,1.002583
2.00,1800000,67725,67725,3.76250000e-02,3.76250000e-02,3.75061284e-02,1.003169
2.50,1900000,56189,56189,2.95731579e-02,2.95731579e-02,2.96552876e-02,0.997231
3.00,2000000,46024,46024,2.30120000e-02,2.30120000e-02,2.28784076e-02,1.005839
3.50,2100000,36023,36023,1.71538095e-02,1.71538095e-02,1.71725417e-02,0.998909
4.00,2400000,29856,29856,1.24400000e-02,1.24400000e-02,1.25008180e-02,0.995135
4.50,2700000,23736,23736,8.79111111e-03,8.79111111e-03,8.79381053e-03,0.999693
5.00,3300000,19526,19526,5.91696970e-03,5.91696970e-03,5.95386715e-03,0.993803
5.50,4100000,15783,15783,3.84951220e-03,3.84951220e-03,3.86223164e-03,0.996707
6.00,5700000,13613,13613,2.38824561e-03,2.38824561e-03,2.38829078e-03,0.999981
6.50,8600000,12211,12211,1.41988372e-03,1.41988372e-03,1.39980484e-03,1.014344
7.00,14400000,11190,11190,7.77083333e-04,7.77083333e-04,7.72674815e-04,1.005706
7.50,26500000,10617,10617,4.00641509e-04,4.00641509e-04,3.98796335e-04,1.004627
8.00,53700000,10305,10305,1.91899441e-04,1.91899441e-04,1.90907774e-04,1.005194
8.50,121200000,10124,10124,8.35313531e-05,8.35313531e-05,8.39995392e-05,0.994426
9.00,302900000,10056,10056,3.31990756e-05,3.31990756e-05,3.36272284e-05,0.987268
